                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                    1400                                     1391                  1.5000000000000000E+001                  2.0000000000000000E-002                  1.1445457529960454E+007                  1.1505033846657350E+001                  4.0775674838032360E+003                  1.9891404500400557E+004                  2.8300183157861898E+002                 -3.2421069827486990E+000                  0.0000000000000000E+000                  7.3139201542631050E-033                  9.7958972500808272E-001                  6.4863412255806757E-004                  1.0993574343662847E-002                  3.7876959530381958E-004                  4.2989775069424462E-003                  1.5000000000000000E+001                  0.0000000000000000E+000                  7.2405891228855976E+000                  2.2105623011207251E-004                  7.4601986224772743E+000                  2.4353554959363945E-002                  9.1133059260987179E-002                  8.8813118012619971E-002                  3.3336606302472427E-002                  3.3215325191379859E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4999155551683625E+001                  2.8189314351516322E+002                  1.4998998358397817E+001                  2.8171206376425783E+002                  1.2307555741395684E+007                  9.3822577938927486E+002                  7.5409456379502723E+006                  5.7608467831029520E+004                  4.3512323816378972E+004                  1.6402621757611635E+003                  2.9617344094109703E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.6119746536599419E+014 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                        q                                    grada                                  opacity                               luminosity                                    gradr 
                                       1                  1.5000000000000000E+001                  2.4517892462731004E+000                  3.6104011579937123E+000                 -8.5924665531577329E+000                  2.8228056739226770E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.0000000000000000E+000                  3.9475873371665898E-001                  5.1491187871435043E-003                  1.9891404500400557E+004                  1.2506556066006036E-001 
                                       2                  1.4999999999992500E+001                  2.4517892462467010E+000                  3.6104011615034111E+000                 -8.5924665285942474E+000                  2.8228057019855557E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999999949996E-001                  3.9475873400184291E-001                  5.1491191098350878E-003                  1.9891404500400560E+004                  1.2506556283111916E-001 
                                       3                  1.4999999999958971E+001                  2.4517892461286750E+000                  3.6104011720251905E+000                 -8.5924664549550371E+000                  2.8228057861156479E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  9.9999999999726474E-001                  3.9475873485680024E-001                  5.1491200772369079E-003                  1.9891404500400578E+004                  1.2506558224209025E-001 
                                       4                  1.4999999999869500E+001                  2.4517892458137212E+000                  3.6104011913915537E+000                 -8.5924663194149371E+000                  2.8228059409652406E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  9.9999999999129996E-001                  3.9475873643043258E-001                  5.1491218578340794E-003                  1.9891404500400626E+004                  1.2506563404065130E-001 
                                       5                  1.4999999999732577E+001                  2.4517892453317365E+000                  3.6104012148169775E+000                 -8.5924661554666493E+000                  2.8228061282701624E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  9.9999999998217182E-001                  3.9475873833388786E-001                  5.1491240116318445E-003                  1.9891404500400698E+004                  1.2506571331017069E-001 
                                       6                  1.4999999999595655E+001                  2.4517892448497514E+000                  3.6104012499551201E+000                 -8.5924659095443747E+000                  2.8228064092273972E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002                  9.9999999997304367E-001                  3.9475874118907051E-001                  5.1491272423280499E-003                  1.9891404500400775E+004                  1.2506579257968287E-001 
                                       7                  1.4999999999321812E+001                  2.4517892438857833E+000                  3.6104013221022107E+000                 -8.5924654046073670E+000                  2.8228069860996383E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999995478750E-001                  3.9475874705144781E-001                  5.1491338757227358E-003                  1.9891404500400920E+004                  1.2506595111868360E-001 
                                       8                  1.4999999998752257E+001                  2.4517892418808649E+000                  3.6104014606569801E+000                 -8.5924644349049348E+000                  2.8228080939499947E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999991681709E-001                  3.9475875830983442E-001                  5.1491466147979507E-003                  1.9891404500401230E+004                  1.2506628085766422E-001 
                                       9                  1.4999999997702108E+001                  2.4517892381842028E+000                  3.6104017604223673E+000                 -8.5924623369519484E+000                  2.8228104907881990E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999984680721E-001                  3.9475878266749242E-001                  5.1491741759103777E-003                  1.9891404500401801E+004                  1.2506688883015415E-001 
                                      10                  1.4999999995248007E+001                  2.4517892295454766E+000                  3.6104024144494282E+000                 -8.5924577597100118E+000                  2.8228157201370974E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.9999999968320041E-001                  3.9475883581078619E-001                  5.1492343082827447E-003                  1.9891404500403132E+004                  1.2506830960570844E-001 
                                      11                  1.4999999990056578E+001                  2.4517892112712212E+000                  3.6104038602493649E+000                 -8.5924476415140951E+000                  2.8228272798895704E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999933710515E-001                  3.9475895328917920E-001                  5.1493672358773317E-003                  1.9891404500405948E+004                  1.2507131511966155E-001 
                                      12                  1.4999999978346834E+001                  2.4517891700529151E+000                  3.6104065784024164E+000                 -8.5924286201716260E+000                  2.8228490114119689E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999855645549E-001                  3.9475917414992368E-001                  5.1496171373020191E-003                  1.9891404500412300E+004                  1.2507809429465724E-001 
                                      13                  1.4999999958282350E+001                  2.4517890994290030E+000                  3.6104114586009270E+000                 -8.5923944729358599E+000                  2.8228880245460979E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999721882338E-001                  3.9475957067623985E-001                  5.1500657907343249E-003                  1.9891404500423196E+004                  1.2508971019525289E-001 
                                      14                  1.4999999921300757E+001                  2.4517889692695851E+000                  3.6104197385678822E+000                 -8.5923365488207466E+000                  2.8229542044098230E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999475338386E-001                  3.9476024341533089E-001                  5.1508269294797673E-003                  1.9891404500443288E+004                  1.2511111950933212E-001 
                                      15                  1.4999999861500735E+001                  2.4517887588268570E+000                  3.6104307795353039E+000                 -8.5922593332765000E+000                  2.8230424287142051E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999999076671564E-001                  3.9476114043826593E-001                  5.1518417349640530E-003                  1.9891404500475823E+004                  1.2514573789008798E-001 
                                      16                  1.4999999792258603E+001                  2.4517885151992660E+000                  3.6104447841550793E+000                 -8.5921614284674597E+000                  2.8231542974306807E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999998615057351E-001                  3.9476227815816922E-001                  5.1531287240780552E-003                  1.9891404500513563E+004                  1.2518582082921220E-001 
                                      17                  1.4999999697837515E+001                  2.4517881830540498E+000                  3.6104703729468017E+000                 -8.5919826414845542E+000                  2.8233585992126611E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999997985583433E-001                  3.9476435668011844E-001                  5.1554797018265553E-003                  1.9891404500565150E+004                  1.2524047619039441E-001 
                                      18                  1.4999999493258491E+001                  2.4517874636996670E+000                  3.6105283013643801E+000                 -8.5915783885973447E+000                  2.8238206148826719E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999996621723264E-001                  3.9476906072697093E-001                  5.1607991448882670E-003                  1.9891404500677385E+004                  1.2535888269951051E-001 
                                      19                  1.4999999021153048E+001                  2.4517858051819692E+000                  3.6106035293464709E+000                 -8.5910545822339621E+000                  2.8244194381078711E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  9.9999993474353654E-001                  3.9477516766980530E-001                  5.1677000826578171E-003                  1.9891404500938836E+004                  1.2563207963688697E-001 
                                      20                  1.4999998615142369E+001                  2.4517843805608428E+000                  3.6107192657854981E+000                 -8.5902508265144757E+000                  2.8253386134505942E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  9.9999990767615787E-001                  3.9478455568274584E-001                  5.1783054342408449E-003                  1.9891404501166409E+004                  1.2586696082106985E-001 
