                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      1.5970000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      540                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.5970000000000000E+000                  3.3501983366698667E+001                 -9.8999999999999986E+001                  1.9929841237720217E-004                  9.0636983255814219E-001                  1.7191926372941045E-003                  9.9999619345935609E-001                  9.5059503486125052E-001                  9.0636983255814219E-001                  1.7191926372941045E-003                  9.9999619345935609E-001                  9.5059503486125052E-001                 -1.0619699032688713E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0619699032688713E+001                 -1.0619699032688713E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6460840354749235E+000                  2.8650669483836464E+000                  1.6636242396946030E+000                  1.3139457901624021E+000                 -2.9173150942967313E-001                  5.4778848768641009E+000                 -3.6916843824612662E+000                  9.9115696011398100E+000                 -3.6916843824612662E+000                  5.4778848768641009E+000                  6.2113029830229316E-001                  8.5000496539657688E-001                  1.2966362606226609E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120007E-003                  9.3604466091399812E-003                  1.1179000000000001E+000                  4.4711241317650419E-001                                        0                                        0                                        6 
                                       2                                      541                  2.2000000000000003E-005                 -4.9208187539523749E+000                  1.5970000000000000E+000                  3.3501983366698667E+001                 -9.8999999999999986E+001                  1.9929834218251495E-004                  9.0636983255814219E-001                  1.7191926289958303E-003                  9.9999619345935609E-001                  9.5059503487032349E-001                  9.0636983255814219E-001                  1.7191926289958303E-003                  9.9999619345935609E-001                  9.5059503487032349E-001                 -1.0619699114512789E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0619699114512789E+001                 -1.0619699114512789E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6457249867546855E+000                  2.8635980360515938E+000                  1.6636078809690529E+000                  1.3139785076135024E+000                 -4.6624421712635850E-001                  5.4778848731646326E+000                 -3.6916843661869350E+000                  9.9115696135770293E+000                 -3.6916843661869350E+000                  5.4778848731646326E+000                  6.2113029832358124E-001                  8.5000496539657688E-001                  1.2966362606226609E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120007E-003                  9.3604466091399812E-003                  1.1179000000000001E+000                  4.4711241317650419E-001                                        0                                        0                                        6 
                                       3                                      540                  3.6400000000000004E-005                 -4.8416375079047498E+000                  1.5970000000000000E+000                  3.3501983366698667E+001                 -9.8999999999999986E+001                  1.9959277318171170E-004                  9.0636983255814219E-001                  1.7191926327709845E-003                  9.9999619345935609E-001                  9.5059503487297614E-001                  9.0636983255814219E-001                  1.7191926327709845E-003                  9.9999619345935609E-001                  9.5059503487297614E-001                 -1.0619699210877890E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0619699210877890E+001                 -1.0619699210877890E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6453078295969648E+000                  2.8618906289137036E+000                  1.6635884917155495E+000                  1.3140172861205093E+000                 -4.6072772574267495E-001                  5.4778848691532325E+000                 -3.6916843472047467E+000                  9.9115696283919785E+000                 -3.6916843472047467E+000                  5.4778848691532325E+000                  6.2113029834786904E-001                  8.5000496539657688E-001                  1.2966362606226609E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120007E-003                  9.3604466091399812E-003                  1.1179000000000001E+000                  4.4711241317650419E-001                                        0                                        0                                        6 
                                       4                                      541                  5.3680000000000001E-005                 -4.7624562618571247E+000                  1.5970000000000000E+000                  3.3501983366698667E+001                 -9.8999999999999986E+001                  1.9983774218396974E-004                  9.0636983255814219E-001                  1.7191926373047969E-003                  9.9999619345935609E-001                  9.5059503487636354E-001                  9.0636983255814219E-001                  1.7191926373047969E-003                  9.9999619345935609E-001                  9.5059503487636354E-001                 -1.0619699324005298E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0619699324005298E+001                 -1.0619699324005298E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6448257379831825E+000                  2.8599163832609498E+000                  1.6635655521167354E+000                  1.3140631653181376E+000                 -4.5448477869891141E-001                  5.4778848649151497E+000                 -3.6916843251692528E+000                  9.9115696460149678E+000                 -3.6916843251692528E+000                  5.4778848649151497E+000                  6.2113029837531619E-001                  8.5000496539657688E-001                  1.2966362606226609E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120007E-003                  9.3604466091399812E-003                  1.1179000000000001E+000                  4.4711241317650419E-001                                        0                                        0                                        6 
                                       5                                      543                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.5970000000000000E+000                  3.3501983366698667E+001                 -9.8999999999999986E+001                  1.9999668724532475E-004                  9.0636983255814219E-001                  1.7191926427510870E-003                  9.9999619345935609E-001                  9.5059503488061226E-001                  9.0636983255814219E-001                  1.7191926427510870E-003                  9.9999619345935609E-001                  9.5059503488061226E-001                 -1.0619699456133263E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0619699456133263E+001                 -1.0619699456133263E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6442614561531377E+000                  2.8576049932026852E+000                  1.6635384207476935E+000                  1.3141174280562209E+000                 -4.4822398334529834E-001                  5.4778848606033685E+000                 -3.6916842997133013E+000                  9.9115696669666953E+000                 -3.6916842997133013E+000                  5.4778848606033685E+000                  6.2113029840598077E-001                  8.5000496539657688E-001                  1.2966362606226609E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120007E-003                  9.3604466091399812E-003                  1.1179000000000001E+000                  4.4711241317650419E-001                                        0                                        0                                        6 
                                       6                                      542                  9.9299199999999986E-005                 -4.6040937697618753E+000                  1.5970000000000000E+000                  3.3501983366698667E+001                 -9.8999999999999986E+001                  2.0009481699744000E-004                  9.0636983255814219E-001                  1.7191926492964957E-003                  9.9999619345935609E-001                  9.5059503488584685E-001                  9.0636983255814219E-001                  1.7191926492964957E-003                  9.9999619345935609E-001                  9.5059503488584685E-001                 -1.0619699609675489E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0619699609675489E+001                 -1.0619699609675489E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6436009324606773E+000                  2.8548988843504639E+000                  1.6635064137065039E+000                  1.3141814421386002E+000                 -4.4096616474759298E-001                  5.4778848564492373E+000                 -3.6916842704747852E+000                  9.9115696918424128E+000                 -3.6916842704747852E+000                  5.4778848564492373E+000                  6.2113029843977663E-001                  8.5000496539657688E-001                  1.2966362606226609E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120007E-003                  9.3604466091399812E-003                  1.1179000000000001E+000                  4.4711241317650419E-001                                        0                                        0                                        6 
                                       7                                      539                  1.2915903999999998E-004                 -4.5249125237142502E+000                  1.5970000000000000E+000                  3.3501983366698667E+001                 -9.8999999999999986E+001                  2.0015534262571226E-004                  9.0636983255814219E-001                  1.7191926571673052E-003                  9.9999619345935609E-001                  9.5059503489217712E-001                  9.0636983255814219E-001                  1.7191926571673052E-003                  9.9999619345935609E-001                  9.5059503489217712E-001                 -1.0619699786881945E+001                 -9.8999999999999986E+001                 -2.6490639618430343E+001                 -1.0619699786881945E+001                 -1.0619699786881945E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6428217789365052E+000                  2.8517068387254541E+000                  1.6634686979423428E+000                  1.3142568736669225E+000                 -4.3338783973327327E-001                  5.4778848528027728E+000                 -3.6916842370967600E+000                  9.9115697213527429E+000                 -3.6916842370967600E+000                  5.4778848528027728E+000                  6.2113029847640067E-001                  8.5000496539657688E-001                  1.2966362606226609E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120007E-003                  9.3604466091399812E-003                  1.1179000000000001E+000                  4.4711241317650419E-001                                        0                                        0                                        6 
                                       8                                      542                  1.6499084799999998E-004                 -4.4457312776666260E+000                  1.5970000000000000E+000                  3.3501983366698667E+001                 -9.8999999999999986E+001                  2.0019309490420677E-004                  9.0636983255814219E-001                  1.7191926666384886E-003                  9.9999619345935609E-001                  9.5059503489967878E-001                  9.0636983255814219E-001                  1.7191926666384886E-003                  9.9999619345935609E-001                  9.5059503489967878E-001                 -1.0619699990465119E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0619699990465119E+001                 -1.0619699990465119E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6419227431124401E+000                  2.8480223552033630E+000                  1.6634245278294273E+000                  1.3143452138927534E+000                 -4.2338379695401901E-001                  5.4778848501317183E+000                 -3.6916841993058869E+000                  9.9115697562446847E+000                 -3.6916841993058869E+000                  5.4778848501317183E+000                  6.2113029851526425E-001                  8.5000496539657688E-001                  1.2966362606226609E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120007E-003                  9.3604466091399812E-003                  1.1179000000000001E+000                  4.4711241317650419E-001                                        0                                        0                                        6 
                                       9                                      541                  2.0798901759999997E-004                 -4.3665500316190009E+000                  1.5970000000000000E+000                  3.3501983366698667E+001                 -9.8999999999999986E+001                  2.0021692239003430E-004                  9.0636983255814219E-001                  1.7191926780458708E-003                  9.9999619345935609E-001                  9.5059503490836716E-001                  9.0636983255814219E-001                  1.7191926780458708E-003                  9.9999619345935609E-001                  9.5059503490836716E-001                 -1.0619700222851289E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.0619700222851289E+001                 -1.0619700222851289E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6408946687311157E+000                  2.8438071179739310E+000                  1.6633730579773611E+000                  1.3144481535968859E+000                 -4.1159737225180765E-001                  5.4778848490759575E+000                 -3.6916841568875176E+000                  9.9115697973816133E+000                 -3.6916841568875176E+000                  5.4778848490759575E+000                  6.2113029855541890E-001                  8.5000496539657688E-001                  1.2966362606226609E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4416106108120011E-003                  9.3604466091399812E-003                  3.4416106108120007E-003                  9.3604466091399812E-003                  1.1179000000000001E+000                  4.4711241317650419E-001                                        0                                        0                                        6 
